timestamp,GPU0_util,GPU0_mem_util,GPU1_util,GPU1_mem_util,GPU2_util,GPU2_mem_util,GPU3_util,GPU3_mem_util
2024-01-15 12:30:32, 2,0, 14,0, 0,0, 0,0
2024-01-15 12:31:03, 23,0, 20,0, 0,0, 0,0
2024-01-15 12:31:19, 23,0, 22,0, 0,0, 0,0
2024-01-15 12:32:20, 99,0, 2,0, 0,0, 0,0
2024-01-15 12:33:20, 23,0, 2,0, 0,0, 0,0
2024-01-15 12:34:20, 3,0, 2,0, 0,0, 0,0
2024-01-15 12:35:20, 8,0, 0,0, 0,0, 0,0
2024-01-15 12:36:20, 7,0, 15,0, 0,0, 0,0
2024-01-15 12:37:20, 7,0, 15,0, 0,0, 0,0
2024-01-15 12:38:21, 13,0, 3,0, 0,0, 0,0
2024-01-15 12:39:21, 8,0, 3,0, 0,0, 0,0
2024-01-15 12:40:21, 4,0, 3,0, 0,0, 0,0
2024-01-15 12:41:21, 26,0, 5,0, 0,0, 0,0
2024-01-15 12:42:21, 7,0, 2,0, 0,0, 0,0
2024-01-15 12:43:21, 5,0, 2,0, 0,0, 0,0
2024-01-15 12:44:21, 7,0, 2,0, 0,0, 0,0
2024-01-15 12:45:21, 4,0, 3,0, 0,0, 0,0
2024-01-15 12:46:21, 22,0, 3,0, 0,0, 0,0
2024-01-15 12:47:21, 23,0, 3,0, 0,0, 0,0
2024-01-15 12:48:21, 6,0, 3,0, 0,0, 0,0
2024-01-15 12:49:21, 7,0, 2,0, 0,0, 0,0
2024-01-15 12:50:21, 7,0, 15,0, 0,0, 0,0
2024-01-15 12:51:22, 7,0, 2,0, 0,0, 0,0
2024-01-15 12:52:22, 11,0, 2,0, 0,0, 0,0
2024-01-15 12:53:22, 5,0, 2,0, 0,0, 0,0
2024-01-15 12:54:22, 5,0, 1,0, 0,0, 0,0
2024-01-15 12:55:22, 5,0, 15,0, 0,0, 0,0
2024-01-15 12:56:22, 5,0, 15,0, 0,0, 0,0
2024-01-15 12:57:22, 4,0, 1,0, 0,0, 0,0
